ItemCode	PurchasePackagingUnit	SalesUnit
ItemCode	PurPackMsr	SalUnitMsr
REP-CALENT-F1200	UNIDAD	UNIDAD
REP-CALENT-F-900	UNIDAD	UNIDAD
REP-CALENT-Z-400	UNIDAD	UNIDAD
REP-TDB-258D3	UNIDAD	UNIDAD
11N65 CLD	UNIDAD	UNIDAD
11N80 CLD	UNIDAD	UNIDAD
2001 HI CLD	UNIDAD	UNIDAD
20N80 CLD	UNIDAD	UNIDAD
221-42	UNIDAD	UNIDAD
24C01A CLD	UNIDAD	UNIDAD
24C02 CLD	UNIDAD	UNIDAD
24C04 CLD	UNIDAD	UNIDAD
24C08A CLD	UNIDAD	UNIDAD
24C16 CLD	UNIDAD	UNIDAD
2L CLD	UNIDAD	UNIDAD
2N1711 CLD	UNIDAD	UNIDAD
2N2222 CLD	UNIDAD	UNIDAD
2N2904	UNIDAD	UNIDAD
2N3055 FIN TOSH	UNIDAD	UNIDAD
2N3055 GRU	UNIDAD	UNIDAD
2N3055 ST CLD	UNIDAD	UNIDAD
2N3771 CLD	UNIDAD	UNIDAD
2N3771 MOROCCO	UNIDAD	UNIDAD
2N3772 FIN TOSH	UNIDAD	UNIDAD
2N3772 GRU TOSH	UNIDAD	UNIDAD
2N3773 CLD ON	UNIDAD	UNIDAD
2N3773 CLD SGS	UNIDAD	UNIDAD
2N3773 CLD ST	UNIDAD	UNIDAD
2N3773 FIN TOSH	UNIDAD	UNIDAD
2N3773 GRU	UNIDAD	UNIDAD
2N3904 CLD	UNIDAD	UNIDAD
2N3906 CLD	UNIDAD	UNIDAD
2N5064	UNIDAD	UNIDAD
2N5401 CLD	UNIDAD	UNIDAD
2N5551	UNIDAD	UNIDAD
2N5551 CLD	UNIDAD	UNIDAD
2N5770	UNIDAD	UNIDAD
2N5884	UNIDAD	UNIDAD
2N6284	UNIDAD	UNIDAD
2SA1011E	UNIDAD	UNIDAD
2SA1012Y	UNIDAD	UNIDAD
2SA1013 CLD	UNIDAD	UNIDAD
2SA1015 CLD	UNIDAD	UNIDAD
2SA1020 CLD	UNIDAD	UNIDAD
2SA1046 CLD	UNIDAD	UNIDAD
2SA104B	UNIDAD	UNIDAD
2SA1075	UNIDAD	UNIDAD
2SA1123	UNIDAD	UNIDAD
2SA114	UNIDAD	UNIDAD
2SA1146	UNIDAD	UNIDAD
2SA1162	UNIDAD	UNIDAD
2SA1169	UNIDAD	UNIDAD
2SA1216	UNIDAD	UNIDAD
2SA1220	UNIDAD	UNIDAD
2SA124	UNIDAD	UNIDAD
2SA1249	UNIDAD	UNIDAD
2SA1263	UNIDAD	UNIDAD
2SA1264	UNIDAD	UNIDAD
2SA1265	UNIDAD	UNIDAD
2SA1270 CLD	UNIDAD	UNIDAD
2SA1273 CLD	UNIDAD	UNIDAD
2SA1294 CLD	UNIDAD	UNIDAD
2SA1295 CLD	UNIDAD	UNIDAD
2SA1300GR	UNIDAD	UNIDAD
2SA1301 CLD	UNIDAD	UNIDAD
2SA1302 CLD	UNIDAD	UNIDAD
2SA1302 TOSH	UNIDAD	UNIDAD
2SA1306 CLD	UNIDAD	UNIDAD
2SA1307	UNIDAD	UNIDAD
2SA1309	UNIDAD	UNIDAD
2SA1345	UNIDAD	UNIDAD
2SA1357	UNIDAD	UNIDAD
2SA1370E	UNIDAD	UNIDAD
2SA144	UNIDAD	UNIDAD
2SA1492 CLD	UNIDAD	UNIDAD
2SA1494 CLD	UNIDAD	UNIDAD
2SA1516	UNIDAD	UNIDAD
2SA1598	UNIDAD	UNIDAD
2SA1625	UNIDAD	UNIDAD
2SA1633	UNIDAD	UNIDAD
2SA1667	UNIDAD	UNIDAD
2SA1668 CLD	UNIDAD	UNIDAD
2SA1694 CLD	UNIDAD	UNIDAD
2SA1837 CLD	UNIDAD	UNIDAD
2SA1941	UNIDAD	UNIDAD
2SA1941 CLD	UNIDAD	UNIDAD
2SA1943 CLD	UNIDAD	UNIDAD
2SA2222 CLD	UNIDAD	UNIDAD
2SA473 CLD	UNIDAD	UNIDAD
