ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
REP-CALENT-F1200	2.2	KG	2.2	KG	2.2	KG
REP-CALENT-F-900	2	KG	2	KG	2	KG
REP-CALENT-Z-400	1.5	KG	1.5	KG	1.5	KG
REP-TDB-258D3	2	KG	2	KG	2	KG
11N65 CLD	0.02	KG	0.02	KG	0.02	KG
11N80 CLD	0.02	KG	0.02	KG	0.02	KG
2001 HI CLD	0.02	KG	0.02	KG	0.02	KG
20N80 CLD	0.02	KG	0.02	KG	0.02	KG
221-42	0.02	KG	0.02	KG	0.02	KG
24C01A CLD	0.02	KG	0.02	KG	0.02	KG
24C02 CLD	0.02	KG	0.02	KG	0.02	KG
24C04 CLD	0.02	KG	0.02	KG	0.02	KG
24C08A CLD	0.02	KG	0.02	KG	0.02	KG
24C16 CLD	0.02	KG	0.02	KG	0.02	KG
2L CLD	0.02	KG	0.02	KG	0.02	KG
2N1711 CLD	0.02	KG	0.02	KG	0.02	KG
2N2222 CLD	0.02	KG	0.02	KG	0.02	KG
2N2904	0.02	KG	0.02	KG	0.02	KG
2N3055 FIN TOSH	0.02	KG	0.02	KG	0.02	KG
2N3055 GRU	0.02	KG	0.02	KG	0.02	KG
2N3055 ST CLD	0.02	KG	0.02	KG	0.02	KG
2N3771 CLD	0.02	KG	0.02	KG	0.02	KG
2N3771 MOROCCO	0.02	KG	0.02	KG	0.02	KG
2N3772 FIN TOSH	0.02	KG	0.02	KG	0.02	KG
2N3772 GRU TOSH	0.02	KG	0.02	KG	0.02	KG
2N3773 CLD ON	0.02	KG	0.02	KG	0.02	KG
2N3773 CLD SGS	0.02	KG	0.02	KG	0.02	KG
2N3773 CLD ST	0.02	KG	0.02	KG	0.02	KG
2N3773 FIN TOSH	0.02	KG	0.02	KG	0.02	KG
2N3773 GRU	0.02	KG	0.02	KG	0.02	KG
2N3904 CLD	0.02	KG	0.02	KG	0.02	KG
2N3906 CLD	0.02	KG	0.02	KG	0.02	KG
2N5064	0.02	KG	0.02	KG	0.02	KG
