ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
HV-CB602X-BK	0	PE00000017
HV-CB602X-RD	0	PE00000017
CA-701WH	0	PE00000005
CA-701BK	0	PE00000005
HV-CB608GN	0	PE00000017
CA-7814WH OF	0	PE00000005
CA-7320WH OF	0	PE00000005
HV-H691	0	PE00000017
CA-721 OF	0	PE00000005
CA-712	0	PE00000005
CA-730BK	0	PE00000005
CA-734BK	0	PE00000005
HV-CB405WH	0	PE00000017
HV-CB405BK	0	PE00000017
CA-7330WH	0	PE00000005
HV-H68	0	PE00000017
HV-H682	0	PE00000017
YUSB2-T01-1.5M	0	PE00000005
YUSB2-T01-3M	0	PE00000005
YUSB2-T01-5M	0	PE00000005
CA-7810C OF	0	PE00000005
CA-752	0	PE00000005
YUSB2-T03-1.5M	0	PE00000005
CA-752C OF	0	PE00000005
YUSB2-T03-3M	0	PE00000005
YUSB2-T03-5M	0	PE00000005
REP-CA-ARDUINO	0	PE00000005
CA-STP056XMT	0	PE00000005
CA-STP056-305	0	PE00000005
BL-IBM-425-6 OF	0	PE00000006
UTP-5EOBL-1.8M	0	PE00000005
UTP-5EOBL-10M	0	PE00000005
UTP-5EOBL-3M	0	PE00000005
UTP-5EOGR-1.8M	0	PE00000005
UTP-5EOGR-10M	0	PE00000005
UTP-5EOGR-3M	0	PE00000005
UTP-5EOGR-5M	0	PE00000005
UTP-6EOBL-10M	0	PE00000005
UTP-6EOBL-5M	0	PE00000005
UTP-6EOGR-10M	0	PE00000005
UTP-6EOGR-5M	0	PE00000005
UTP-6EOBL-1.8M	0	PE00000005
UTP-6EOBL-3M	0	PE00000005
UTP-42xMT	0	PE00000005
CA-055ExMT	0	PE00000005
IR5244SLxMT	0	PE00000005
CA-045ExMT	0	PE00000005
CA-056XMT	0	PE00000005
IR6244SLxMT	0	PE00000005
IR5244SL-100	0	PE00000005
UTP-42-100	0	PE00000005
IR6244SL-100	0	PE00000005
CA-055E-305	0	PE00000005
CA-045E-305	0	PE00000005
CA-056-305	0	PE00000005
IR5244SL	0	PE00000005
UTP-42	0	PE00000005
IR6244SL	0	PE00000005
CA-34M-1.5	0	PE00000005
CA-34M-1.8	0	PE00000005
CA-34M-10	0	PE00000005
CA-34M-15	0	PE00000005
CA-34M-20	0	PE00000005
CA-34M-25	0	PE00000005
CA-34M-35	0	PE00000005
CA-34M-3	0	PE00000005
QX-7304MM-164 OF	0	PE00000005
CA-34M-5	0	PE00000005
CA-34M-8	0	PE00000005
CC-152	0	PE00000005
AP-V-6 OF	0	PE00000006
REP-CA-LED-SIGMA	0	PE00000005
PD15U_PSS-912	0	PE00000009
KS-CS15A_PSS-912	0	PE00000012
AVANTI15A_SB-16	0	PE00000012
PH15 PRO	0	PE00000009
ACTION12A 115V	0	PE00000038
ACTION15A 115V	0	PE00000038
TAP-20BT	0	PE00000012
TAP20A BK	0	PE00000012
TAP40A BK	0	PE00000012
ALTEA-715A	0	PE00000038
ALTEA-415A	0	PE00000038
DM115	0	PE00000018
PD215U	0	PE00000009
ACTION215A 115V	0	PE00000038
DPE 4P USLC	0	PE00000018
KS-CS215A	0	PE00000012
PV215D	0	PE00000018
VANTEC-215A	0	PE00000038
DPE 2P USLC W/O CB	0	PE00000018
FORZA15A (UL)	0	PE00000012
