ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
2	0	\\192.168.10.27\Documentos_SAP\Anexos	REP-TDB-258D3	jpg	Y	REP-TDB-258D3
570	0	\\192.168.10.27\Documentos_SAP\Anexos	2SD5024 CLD	jpg	Y	2SD5024 CLD
762	0	\\192.168.10.27\Documentos_SAP\Anexos	76BGS36_768x960	jpg	Y	76BGS36
762	1	\\192.168.10.27\Documentos_SAP\Anexos	76BGS36(3)_960x768	jpg	Y	76BGS36
762	2	\\192.168.10.27\Documentos_SAP\Anexos	76BGS36(2)_768x960	jpg	Y	76BGS36
763	0	\\192.168.10.27\Documentos_SAP\Anexos	LLF021	jpg	Y	LLF021 OF
764	0	\\192.168.10.27\Documentos_SAP\Anexos	AVS-312 - (07-19)	jpg	Y	AVS-312
764	1	\\192.168.10.27\Documentos_SAP\Anexos	AVS-312(1-2) - (07-19)	jpg	Y	AVS-312
764	2	\\192.168.10.27\Documentos_SAP\Anexos	AVS-312(1-3) - (07-19)	jpg	Y	AVS-312
764	3	\\192.168.10.27\Documentos_SAP\Anexos	AVS-312(6) - (07-19)	jpg	Y	AVS-312
765	0	\\192.168.10.27\Documentos_SAP\Anexos	TV-301	jpg	Y	TV-301 OF
766	0	\\192.168.10.27\Documentos_SAP\Anexos	TV-302	jpg	Y	TV-302 OF
767	0	\\192.168.10.27\Documentos_SAP\Anexos	CS-102	jpg	Y	CS-102 OF
768	0	\\192.168.10.27\Documentos_SAP\Anexos	ABR-19B	JPG	Y	REP-ABR-19B/S
770	0	\\192.168.10.27\Documentos_SAP\Anexos	KD-033_768x960	jpg	Y	KD-033
771	0	\\192.168.10.27\Documentos_SAP\Anexos	ZD-205_768x960	jpg	Y	ZD-205
771	1	\\192.168.10.27\Documentos_SAP\Anexos	ZD-205(2)_768x960	jpg	Y	ZD-205
772	0	\\192.168.10.27\Documentos_SAP\Anexos	8PK-366N-B	jpg	Y	8PK-366N-B
