ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
0.22MF-100V	1000	2000	
0.47MF-100V	1000	2000	
0.47MF-160V	1000	2000	
0.47MF-50V	1000	4000	
00104C	1	250	
00478800XUND	1	1	
00478810XUND	1	1	
00479470XUND	1	1	
00479480XUND	1	1	
00479490XUND	1	1	
00479500XUND	1	1	
00479540XUND	1	1	
00479550XUND	1	1	
00479710XUND	1	1	
00479720XUND	1	1	
00479730XUND	1	1	
00479740XUND	1	1	
00479790XUND	1	1	
00479800XUND	1	1	
1-439-498-11 CLA	1	50	
1.5MFD-250V	200	300	
1/2W-0.1 OHM MT	1	2000	
1/2W-0.22 OHM	1	1000	
1/2W-0.22 OHM MT	200	1000	
1/2W-0.33 OHM	1	1000	
1/2W-0.33 OHM MT	200	200	
1/2W-0.47 OHM	1	2000	
1/2W-0.47 OHM MT	1	1000	
1/2W-1 OHM	1	2000	
1/2W-1.2K	2000	8000	
1/2W-1.8K	1	2000	
1/2W-10 OHM	200	12000	
1/2W-10 OHM CLA	1	1	
1/2W-100 OHM	2000	28000	
1/2W-100K	1	2000	
1/2W-10K	2000	26000	
1/2W-10MG	200	200	
1/2W-12 OHM	2000	2000	
1/2W-120 OHM	2000	6000	
1/2W-120K	1	2000	
1/2W-12K	1	1000	
1/2W-130K MT CLA	1	1000	
1/2W-15 OHM	1	2000	
1/2W-15 OHM MT CLA	1	1000	
1/2W-150 OHM	2000	6000	
1/2W-150 OHM CLA	1	1	
1/2W-150K	1	2000	
1/2W-15K	2000	4000	
1/2W-18 OHM	2000	2000	
1/2W-180 OHM	1	2000	
1/2W-180K	2000	2000	
1/2W-18K	1	2000	
1/2W-1K	1	2000	
1/2W-1MG	1	2000	
1/2W-2 OHM CLA	1	1000	
1/2W-2.2 OHM	1	2000	
1/2W-2.2K	2000	12000	
1/2W-2.2MG	1	2000	
1/2W-2.7 OHM	1	2000	
1/2W-2.7K	2000	2000	
1/2W-20 OHM	2000	2000	
1/2W-200 OHM	1	2000	
1/2W-200K	2000	1	
1/2W-22 OHM	1	2000	
1/2W-220 OHM	2000	50000	
1/2W-220 OHM CLA	1	1	
1/2W-220K	2000	4000	
1/2W-22K	2000	10000	
1/2W-240 OHM	1	2000	
1/2W-250 OHM	1	2000	
1/2W-26 OHM	1000	1000	
1/2W-27 OHM	2000	2000	
1/2W-270 OHM	1	2000	
1/2W-27K	2000	2000	
1/2W-3.3 OHM	1	2000	
1/2W-3.3K	1	2000	
1/2W-3.3MG	200	1000	
1/2W-3.9 OHM	200	1000	
1/2W-3.9K	2000	4000	
1/2W-30 OHM	2000	2000	
1/2W-30K	1	2000	
1/2W-33 OHM	2000	4000	
1/2W-330 OHM	2000	36000	
1/2W-330 OHM CLA	1	1	
1/2W-330K	2000	2000	
1/2W-33K	2000	6000	
1/2W-36 OHM	2000	2000	
1/2W-39 OHM	2000	2000	
1/2W-390 OHM	2000	6000	
1/2W-390K	200	200	
1/2W-39K	1	2000	
1/2W-4.7 OHM	2000	4000	
1/2W-4.7K	2000	8000	
1/2W-4.7MG	200	200	
1/2W-47 OHM	1	2000	
1/2W-470 OHM	2000	14000	
1/2W-470K	1	2000	
1/2W-47K	1	2000	
1/2W-5.1 OHM	1	1000	
1/2W-5.1K	2000	4000	
1/2W-5.6 OHM	2000	2000	
1/2W-5.6K	2000	4000	
1/2W-51 OHM	1	2000	
1/2W-56 OHM	1	2000	
1/2W-560 OHM	1	2000	
1/2W-560 OHM MT CLA	1	1000	
1/2W-560K	1	1000	
1/2W-56K	1	2000	
1/2W-6.2 OHM CLA	1	1000	
1/2W-6.8 OHM	2000	2000	
1/2W-6.8K	2000	8000	
1/2W-6.8MG	200	200	
1/2W-62 OHM	2000	2000	
1/2W-620 OHM	1	1000	
1/2W-620K CLA	1	1000	
1/2W-62K	200	200	
1/2W-68 OHM	1	2000	
1/2W-680 OHM	1	2000	
1/2W-680K	1	2000	
1/2W-68K	2000	2000	
1/2W-7.5 OHM	200	200	
1/2W-7.5K	1	1000	
1/2W-75 OHM	1	2000	
1/2W-750 OHM	1	2000	
1/2W-8.2 OHM	1	1000	
1/2W-8.2K	1	2000	
1/2W-82 OHM	1	2000	
1/2W-820 OHM	1	2000	
1/2W-820K	1	2000	
1/2W-82K	2000	2000	
1/2W-9.1 OHM	200	200	
1/2W-910K CLA	1	1000	
1/4W-0.22 OHM MT CLA	1	1000	
1/4W-0.33 OHM MT CLA	1	1000	
1/4W-0.47 OHM MT CLA	1	1000	
1/4W-100 OHM CLA	1	1000	
1/4W-100K CLA	1	1000	
1/4W-10K CLA	1	1000	
1/4W-10MG CLA	1	1000	
1/4W-12 OHM CLA	1	1000	
1/4W-120 OHM CLA	1	1000	
1/4W-15 OHM CLA	1	1000	
1/4W-18MG CLA	1	1000	
1/4W-1MG CLA	1	1000	
1/4W-2.2 MG CLA	1	1000	
1/4W-2.2 OHM CLA	1	1000	
