ParentKey	LineNum	BatchNumber	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufacturingDate	AddmisionDate	Location	Notes	Quantity	BaseLineNumber	TrackingNote	TrackingNoteLine	ItemCode	SystemSerialNumber
DocNum	LineNum	DistNumber	MnfSerial	LotNumber	ExpDate	MnfDate	InDate	Location	Notes	Quantity	DocLineNum	TrackingNt	TrackiNtLn	ItemCode	SysNumber
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		11N65 CLD	32	0			11N65 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		11N80 CLD	21	1			11N80 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		20N80 CLD	19	2			20N80 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		24C04 CLD	22	3			24C04 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		24C08A CLD	76	4			24C08A CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		24C16 CLD	109	5			24C16 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2L CLD	4	6			2L CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N2222 CLD	497	7			2N2222 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N3055 ST CLD	56	8			2N3055 ST CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N3904 CLD	494	9			2N3904 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N3906 CLD	74	10			2N3906 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N5401 CLD	202	11			2N5401 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2N5551 CLD	173	12			2N5551 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA1020 CLD	74	13			2SA1020 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA1270 CLD	56	14			2SA1270 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA1294 CLD	7	15			2SA1294 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA1492 CLD	3	16			2SA1492 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA1943 CLD	104	17			2SA1943 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA684	4	18			2SA684	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA715 CLD	44	19			2SA715 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA733 CLD	102	20			2SA733 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SA965 CLD	10	21			2SA965 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB1015 CLD	6	22			2SB1015 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB1374	62	23			2SB1374	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB1588 CLD	3	24			2SB1588 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB1686 CLD	19	25			2SB1686 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB511 CLD	16	26			2SB511 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB772 CLD	10	27			2SB772 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB817C CLD	17	28			2SB817C CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SB834 CLD	28	29			2SB834 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC1384 CLD	31	30			2SC1384 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC1815 CLD	1	31			2SC1815 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC2073 CLD	1	32			2SC2073 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC2230 CLD	7	33			2SC2230 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC2482 CLD	23	34			2SC2482 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC2688 CLD	32	35			2SC2688 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC3207 CLD	31	36			2SC3207 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC3263 CLD	31	37			2SC3263 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC3807 CLD	52	38			2SC3807 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC3856 CLD	2	39			2SC3856 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4056 CLD	32	40			2SC4056 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4237 CLD	21	41			2SC4237 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4460M CLD	8	42			2SC4460M CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4636 CLD	26	43			2SC4636 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4793 CLD	5	44			2SC4793 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4834P CLD	4	45			2SC4834P CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC4927 CLD	10	46			2SC4927 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC5171	30	47			2SC5171	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC5198 CLD	66	48			2SC5198 CLD	
6		SAP-SH1	SAP-SH1		20211031	20201031	20201031		2SC5200 CLD	209	49			2SC5200 CLD	
