ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
2	0	ACD-006A	ADAPTADOR AC/DC FIJO 9V 1000MA P/PEDAL DE EFECTO	6	2.70	201	_SYS00000005053	16.20
2	1	TMA54ZBT	AMPLIFICADOR C/4 ZONAS 5CH/240W - NETO	1	310.53	201	_SYS00000005053	310.53
2	2	VIPER30	AMPLIFICADOR P/BAJO ELEC. VIPER 30W 1X10 - Oferta	1	156.56	201	_SYS00000005053	156.56
2	3	EDA50	AMPLIFICADOR P/BATERIA EDA 50W 1X10	5	100.45	201	_SYS00000005053	502.25
2	4	V2XME-U	AMPLIFICADOR P/GUIT. ELEC. 30W	3	115.64	201	_SYS00000005053	346.92
2	5	CM15R US DB	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 AZUL OSCURO	5	39.57	201	_SYS00000005053	197.85
2	6	CM15R US BK	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 NEGRO	5	39.57	201	_SYS00000005053	197.85
2	7	CM15R US DR	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 ROJO OSCURO	4	39.57	201	_SYS00000005053	158.28
2	8	CM30R US BK	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 30W 1X10 NEGRO	1	70.82	201	_SYS00000005053	70.82
2	9	MIGHTY 30SE	AMPLIFICADOR P/GUIT. ELEC. DIGITAL 30W 1X10	2	67.89	201	_SYS00000005053	135.78
2	10	EVO30	AMPLIFICADOR P/GUIT. ELEC. EVO 30W 1X10 - Oferta	1	159.84	201	_SYS00000005053	159.84
2	11	EVO60	AMPLIFICADOR P/GUIT. ELEC. EVO 60W 1X12 - Oferta	2	171.25	201	_SYS00000005053	342.50
2	12	FRONTLINE 30	AMPLIFICADOR P/GUIT. ELEC. FRONTLINE 30W 1X10	3	75.75	201	_SYS00000005053	227.25
2	13	KICKSTART30	AMPLIFICADOR P/GUIT. ELEC. KICKSTART 30W 1X10 - Oferta	1	109.03	201	_SYS00000005053	109.03
2	14	RG80E-U	AMPLIFICADOR P/GUIT. ELEC. RG 80W 1X12	1	188.36	201	_SYS00000005053	188.36
2	15	GE15B	AMPLIFICADOR PARA BAJO ELECTRICO 15W 8	6	41.97	201	_SYS00000005053	251.82
2	16	TPM9.1000	AMPLIFICADOR T/CONSOLA 1000W 14CH	2	276.99	201	_SYS00000005053	553.98
2	17	TPM8250MK II	AMPLIFICADOR T/CONSOLA 500W 10CH - NETO	2	164.12	201	_SYS00000005053	328.24
2	18	XR-S 120US	AMPLIFICADOR T/CONSOLA XR-SERIE 1000W 8CH - Oferta	1	378.84	201	_SYS00000005053	378.84
2	19	TMA500.4	AMPLIFICADOR TMA-SERIES C/4CH 1560W - Oferta	1	299.92	201	_SYS00000005053	299.92
2	20	DCN2	AUDIFONO GRANDE DCN-SERIES	12	8.42	201	_SYS00000005053	101.04
2	21	DCN8	AUDIFONO GRANDE PROFESIONAL DCN-SERIES	22	20.27	201	_SYS00000005053	445.94
2	22	ACTION DLX AS OPN	BAJO ELECT. 4 CUERDAS ACTION AS NATURAL OP	3	165.36	201	_SYS00000005053	496.08
2	23	ACTION BASS PLUS BM	BAJO ELECT. 4 CUERDAS ACTION AZUL METALICO	4	104.36	201	_SYS00000005053	417.44
2	24	ACTION PJ OPBC	BAJO ELECT. 4 CUERDAS ACTION CEREZA OPEN PORE	3	88.86	201	_SYS00000005053	266.58
2	25	ACTION BASS PLUS BK	BAJO ELECT. 4 CUERDAS ACTION NEGRO	3	106.51	201	_SYS00000005053	319.53
2	26	ACTION PJ OPB	BAJO ELECT. 4 CUERDAS ACTION NEGRO OPEN PORE	2	88.86	201	_SYS00000005053	177.72
2	27	ACTION PJ OPW	BAJO ELECT. 4 CUERDAS ACTION NUEZ OPEN PORE	8	88.86	201	_SYS00000005053	710.88
2	28	ACTION DLX PLUS CRS	BAJO ELECT. 4 CUERDAS ACTION PLUS CEREZA SUNB.	3	144.85	201	_SYS00000005053	434.55
2	29	ACTION BASS PLUS TR	BAJO ELECT. 4 CUERDAS ACTION ROJO TRANS	3	106.51	201	_SYS00000005053	319.53
2	30	B4 PLUS MH OPM	BAJO ELECT. 4 CUERDAS ARTISAN CAOBA OPEN PORE	3	218.94	201	_SYS00000005053	656.82
2	31	A4 ULTRA RWAS W/CASE	BAJO ELECT. 4 CUERDAS ARTISAN CUSTOM NATURAL OP - Oferta	1	719.79	201	_SYS00000005053	719.79
2	32	C4 PLUS ZBMH TBB	BAJO ELECT. 4 CUERDAS ARTISAN MARKB. PREAMP Y MIC. BARTO. COLOR TBB - NETO	2	204.19	201	_SYS00000005053	408.38
2	33	B4 PLUS AS OPN	BAJO ELECT. 4 CUERDAS ARTISAN NATURAL OPEN PORE	5	248.95	201	_SYS00000005053	1244.75
2	34	B4FL PLUS AS OPN	BAJO ELECT. 4 CUERDAS ARTISAN NATURAL OPEN PORE S/TRASTES - NETO	2	252.00	201	_SYS00000005053	504.00
2	35	C4 PLUS ZBMH OTAB	BAJO ELECT. 4 CUERDAS ARTISAN TABACO BURST OPEN PORE - NETO	2	201.56	201	_SYS00000005053	403.12
2	36	GB34JJ 3TS	BAJO ELECT. 4 CUERDAS GB ACTIVO C/MIC. JAZZ COLOR 3TS	2	135.02	201	_SYS00000005053	270.04
2	37	ACTION DLX V AS OPN	BAJO ELECT. 5 CUERDAS ACTION AS NATURAL OP	1	183.86	201	_SYS00000005053	183.86
2	38	ACTION BASS V PLUSBM	BAJO ELECT. 5 CUERDAS ACTION AZUL METALICO	4	111.11	201	_SYS00000005053	444.44
2	39	ACTION DLX V PLUSCRS	BAJO ELECT. 5 CUERDAS ACTION CEREZA CON ROJO SUNBURST	3	156.82	201	_SYS00000005053	470.46
2	40	ACTION BASS V PLUSBK	BAJO ELECT. 5 CUERDAS ACTION NEGRO	7	111.34	201	_SYS00000005053	779.38
2	41	ACTION BASS V PLUSTR	BAJO ELECT. 5 CUERDAS ACTION ROJO TRANS	1	110.15	201	_SYS00000005053	110.15
2	42	A5 PLUS SCMS OPN	BAJO ELECT. 5 CUERDAS ARTISAN C/MIC. BARTOLINI MK-1 Y ESTUCHE COLOR OPN - NETO	1	454.25	201	_SYS00000005053	454.25
2	43	B5 PLUS MH OPM	BAJO ELECT. 5 CUERDAS ARTISAN CAOBA OPEN PORE	1	236.22	201	_SYS00000005053	236.22
2	44	A5 PLUS FMMH OPBC	BAJO ELECT. 5 CUERDAS ARTISAN CEREZA OPEN PORE - NETO	1	384.93	201	_SYS00000005053	384.93
2	45	A5 PLUS FMMH OPN	BAJO ELECT. 5 CUERDAS ARTISAN NATURAL OPEN PORE - NETO	3	381.32	201	_SYS00000005053	1143.96
2	46	B5 PLUS AS OPN	BAJO ELECT. 5 CUERDAS ARTISAN NATURAL OPEN PORE	1	264.63	201	_SYS00000005053	264.63
2	47	C5 PLUS ZBMH OTAB	BAJO ELECT. 5 CUERDAS ARTISAN TABACO BURST OPEN PORE	1	216.21	201	_SYS00000005053	216.21
2	48	C6 PLUS ZBMH OTAB	BAJO ELECT. 6 CUERDAS ARTISAN TABACO BURST OPEN PORE	1	258.86	201	_SYS00000005053	258.86
2	49	TPS218NEO-SUB	BAJO PASIVO DOBLE NEO-SERIE 18 2800W - NETO	1	225.65	201	_SYS00000005053	225.65
2	50	TPS18NEO-SUB	BAJO PASIVO NEO-SERIE 18 1400W	1	129.31	201	_SYS00000005053	129.31
2	51	CSD310	BATERIA ELECTRICA 5-TAMBORES 4-PLATILLOS (1/2_2/2)	1	391.40	201	_SYS00000005053	391.40
2	52	RG3003HE-U	CABEZAL P/GUIT. ELECT. RG 300W	1	282.94	201	_SYS00000005053	282.94
2	53	HEADLINER 210	CABINA P/BAJO ELEC. BASS ENCLO. 300W 2X10 - Oferta	1	214.88	201	_SYS00000005053	214.88
2	54	HEADLINER 410	CABINA P/BAJO ELEC. BASS ENCLO. 400W 2X10 - Oferta	1	190.08	201	_SYS00000005053	190.08
2	55	KS-CS15A_PSS-912	CAJA ACTIVA 15 4000W TOPP PRO_ PEDESTAL P/CAJA PRO-LOK - Oferta	8	390.91	201	_SYS00000005053	3127.28
2	56	AVANTI15A_SB-16	CAJA ACTIVA 15 500W TOPP PRO_ PEDESTAL P/CAJA AX - NETO	9	139.92	201	_SYS00000005053	1259.28
