ParentKey	LineNum	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufactureDate	ReceptionDate	WarrantyStart	WarrantyEnd	Location	Notes	BatchID	SystemSerialNumber	BaseLineNumber	Quantity	TrackingNote	TrackingNoteLine	ItemCode
DocNum	LineNum	MnfSerial	DistNumber	ExpDate	MnfDate	InDate	GrntStart	GrntExp	Location	Notes	LotNumber	SysNumber	DocLineNum	Quantity	TrackingNt	TrackiNtLn	ItemCode
2		ADA-000016	ADA-000016		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000017	ADA-000017		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000018	ADA-000018		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000019	ADA-000019		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000020	ADA-000020		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000021	ADA-000021		20201031	20201031				ACD-006A			0	1			ACD-006A
2		ADA-000035	ADA-000035		20201031	20201031				TMA54ZBT			1	1			TMA54ZBT
2		ADA-000036	ADA-000036		20201031	20201031				VIPER30			2	1			VIPER30
2		ADA-000041	ADA-000041		20201031	20201031				EDA50			3	1			EDA50
2		ADA-000042	ADA-000042		20201031	20201031				EDA50			3	1			EDA50
2		ADA-000043	ADA-000043		20201031	20201031				EDA50			3	1			EDA50
2		ADA-000044	ADA-000044		20201031	20201031				EDA50			3	1			EDA50
2		ADA-000045	ADA-000045		20201031	20201031				EDA50			3	1			EDA50
2		ADA-000049	ADA-000049		20201031	20201031				V2XME-U			4	1			V2XME-U
2		ADA-000050	ADA-000050		20201031	20201031				V2XME-U			4	1			V2XME-U
2		ADA-000051	ADA-000051		20201031	20201031				V2XME-U			4	1			V2XME-U
2		ADA-000064	ADA-000064		20201031	20201031				CM15R US DB			5	1			CM15R US DB
2		ADA-000065	ADA-000065		20201031	20201031				CM15R US DB			5	1			CM15R US DB
2		ADA-000066	ADA-000066		20201031	20201031				CM15R US DB			5	1			CM15R US DB
2		ADA-000067	ADA-000067		20201031	20201031				CM15R US DB			5	1			CM15R US DB
2		ADA-000068	ADA-000068		20201031	20201031				CM15R US DB			5	1			CM15R US DB
2		ADA-000123	ADA-000123		20201031	20201031				CM15R US BK			6	1			CM15R US BK
2		ADA-000124	ADA-000124		20201031	20201031				CM15R US BK			6	1			CM15R US BK
2		ADA-000125	ADA-000125		20201031	20201031				CM15R US BK			6	1			CM15R US BK
2		ADA-000126	ADA-000126		20201031	20201031				CM15R US BK			6	1			CM15R US BK
2		ADA-000127	ADA-000127		20201031	20201031				CM15R US BK			6	1			CM15R US BK
2		ADA-000152	ADA-000152		20201031	20201031				CM15R US DR			7	1			CM15R US DR
2		ADA-000153	ADA-000153		20201031	20201031				CM15R US DR			7	1			CM15R US DR
2		ADA-000154	ADA-000154		20201031	20201031				CM15R US DR			7	1			CM15R US DR
2		ADA-000155	ADA-000155		20201031	20201031				CM15R US DR			7	1			CM15R US DR
2		ADA-000176	ADA-000176		20201031	20201031				CM30R US BK			8	1			CM30R US BK
2		ADA-000179	ADA-000179		20201031	20201031				MIGHTY 30SE			9	1			MIGHTY 30SE
2		ADA-000180	ADA-000180		20201031	20201031				MIGHTY 30SE			9	1			MIGHTY 30SE
2		ADA-000183	ADA-000183		20201031	20201031				EVO30			10	1			EVO30
2		ADA-000185	ADA-000185		20201031	20201031				EVO60			11	1			EVO60
2		ADA-000186	ADA-000186		20201031	20201031				EVO60			11	1			EVO60
2		ADA-000192	ADA-000192		20201031	20201031				FRONTLINE 30			12	1			FRONTLINE 30
2		ADA-000193	ADA-000193		20201031	20201031				FRONTLINE 30			12	1			FRONTLINE 30
2		ADA-000194	ADA-000194		20201031	20201031				FRONTLINE 30			12	1			FRONTLINE 30
2		ADA-000196	ADA-000196		20201031	20201031				KICKSTART30			13	1			KICKSTART30
2		ADA-000203	ADA-000203		20201031	20201031				RG80E-U			14	1			RG80E-U
2		ADA-000250	ADA-000250		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000251	ADA-000251		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000252	ADA-000252		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000253	ADA-000253		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000254	ADA-000254		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000255	ADA-000255		20201031	20201031				GE15B			15	1			GE15B
2		ADA-000325	ADA-000325		20201031	20201031				TPM9.1000			16	1			TPM9.1000
2		ADA-000326	ADA-000326		20201031	20201031				TPM9.1000			16	1			TPM9.1000
2		ADA-000342	ADA-000342		20201031	20201031				TPM8250MK II			17	1			TPM8250MK II
2		ADA-000343	ADA-000343		20201031	20201031				TPM8250MK II			17	1			TPM8250MK II
2		ADA-000345	ADA-000345		20201031	20201031				XR-S 120US			18	1			XR-S 120US
2		ADA-000346	ADA-000346		20201031	20201031				TMA500.4			19	1			TMA500.4
2		AUD-000121	AUD-000121		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000122	AUD-000122		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000123	AUD-000123		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000124	AUD-000124		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000125	AUD-000125		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000126	AUD-000126		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000127	AUD-000127		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000128	AUD-000128		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000129	AUD-000129		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000130	AUD-000130		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000131	AUD-000131		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000132	AUD-000132		20201031	20201031				DCN2			20	1			DCN2
2		AUD-000177	AUD-000177		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000178	AUD-000178		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000179	AUD-000179		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000180	AUD-000180		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000181	AUD-000181		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000182	AUD-000182		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000183	AUD-000183		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000184	AUD-000184		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000185	AUD-000185		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000186	AUD-000186		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000187	AUD-000187		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000188	AUD-000188		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000189	AUD-000189		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000190	AUD-000190		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000191	AUD-000191		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000192	AUD-000192		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000193	AUD-000193		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000194	AUD-000194		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000195	AUD-000195		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000196	AUD-000196		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000197	AUD-000197		20201031	20201031				DCN8			21	1			DCN8
2		AUD-000198	AUD-000198		20201031	20201031				DCN8			21	1			DCN8
2		BAJ-000002	BAJ-000002		20201031	20201031				ACTION DLX AS OPN			22	1			ACTION DLX AS OPN
2		BAJ-000003	BAJ-000003		20201031	20201031				ACTION DLX AS OPN			22	1			ACTION DLX AS OPN
