ParentKey	LineNum	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufactureDate	ReceptionDate	WarrantyStart	WarrantyEnd	Location	Notes	BatchID	SystemSerialNumber	BaseLineNumber	Quantity	TrackingNote	TrackingNoteLine	ItemCode
DocNum	LineNum	MnfSerial	DistNumber	ExpDate	MnfDate	InDate	GrntStart	GrntExp	Location	Notes	LotNumber	SysNumber	DocLineNum	Quantity	TrackingNt	TrackiNtLn	ItemCode
4	0	AUD-000133	AUD-000133		20201031	20201031				DCN2			0	1			DCN2
4	1	AUD-000134	AUD-000134		20201031	20201031				DCN2			0	1			DCN2
4	2	AUD-000135	AUD-000135		20201031	20201031				DCN2			0	1			DCN2
4	0	CAJACT-000056	CAJACT-000056		20201031	20201031				KS-CS15A_PSS-912			1	1			KS-CS15A_PSS-912
4	1	CAJACT-000057	CAJACT-000057		20201031	20201031				KS-CS15A_PSS-912			1	1			KS-CS15A_PSS-912
4	0	CAJACT-000103	CAJACT-000103		20201031	20201031				AVANTI15A_SB-16			2	1			AVANTI15A_SB-16
4	0	CAJACT-000218	CAJACT-000218		20201031	20201031				ALTEA-415A			3	1			ALTEA-415A
4	0	CAJACT-000304	CAJACT-000304		20201031	20201031				PVXP15 DSP 120US			4	1			PVXP15 DSP 120US
4	0	CAJACT-000377	CAJACT-000377		20201031	20201031				X15A-MP			5	1			X15A-MP
4	0	CAJACT-001957	CAJACT-001957		20201031	20201031				AX-SPA1004R			6	1			AX-SPA1004R
4	0	CAJACT-001977	CAJACT-001977		20201031	20201031				KR-X12D			7	1			KR-X12D
4	0	CAJACT-002007	CAJACT-002007		20201031	20201031				AX-SPA1504R			8	1			AX-SPA1504R
4	0	CAJACT-002303	CAJACT-002303		20201031	20201031				AX-SPA804B			9	1			AX-SPA804B
4	0	CAJDIR-000025	CAJDIR-000025		20201031	20201031				TDI-P1			10	1			TDI-P1
4	1	CAJDIR-000026	CAJDIR-000026		20201031	20201031				TDI-P1			10	1			TDI-P1
4	2	CAJDIR-000027	CAJDIR-000027		20201031	20201031				TDI-P1			10	1			TDI-P1
4	0	CAJPAS-000036	CAJPAS-000036		20201031	20201031				AX-SP1204			11	1			AX-SP1204
4	0	CAJPAS-000113	CAJPAS-000113		20201031	20201031				AX-SP126			12	1			AX-SP126
4	0	CAJPAS-000140	CAJPAS-000140		20201031	20201031				AX-WD1215			13	1			AX-WD1215
4	0	CAJPAS-000154	CAJPAS-000154		20201031	20201031				TPS115NEO-MKII			14	1			TPS115NEO-MKII
4	0	CAJPAS-000164	CAJPAS-000164		20201031	20201031				TPS215NEO-MKII			15	1			TPS215NEO-MKII
4	1	CAJPAS-000165	CAJPAS-000165		20201031	20201031				TPS215NEO-MKII			15	1			TPS215NEO-MKII
4	0	CAJPAS-000304	CAJPAS-000304		20201031	20201031				AX-SP1504			16	1			AX-SP1504
4	1	CAJPAS-000305	CAJPAS-000305		20201031	20201031				AX-SP1504			16	1			AX-SP1504
