ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
5	0	MAX 115	AMPLIFICADOR P/BAJO MAX 300W 1X15 - Oferta	1	192.66	204	_SYS00000005053	 192.66 
5	1	AC-50 STAGEMAN	AMPLIFICADOR P/GUIT. ACUS. 50W 1X6.5 STAGEMAN	1	129.35	204	_SYS00000005053	 129.35 
5	2	CM15R US DB	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 AZUL OSCURO	1	37.73	204	_SYS00000005053	 37.73 
5	3	CM15R US DR	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 ROJO OSCURO	1	37.73	204	_SYS00000005053	 37.73 
5	4	MIGHTY 15SE	AMPLIFICADOR P/GUIT. ELEC. DIGITAL 15W 1X8 - Oferta	1	68.35	204	_SYS00000005053	 68.35 
5	5	MIGHTY 30SE	AMPLIFICADOR P/GUIT. ELEC. DIGITAL 30W 1X10	1	67.89	204	_SYS00000005053	 67.89 
5	6	KICKSTART30	AMPLIFICADOR P/GUIT. ELEC. KICKSTART 30W 1X10 - Oferta	1	109.03	204	_SYS00000005053	 109.03 
5	7	BANDIT 112	AMPLIFICADOR P/GUIT. ELEC. TRANSTUBE 100W 1X12 - Oferta	1	170.00	204	_SYS00000005053	 170.00 
5	8	VYPYR VIP1	AMPLIFICADOR P/GUIT. ELEC. VYPYR 20W 1X8 - Oferta	2	118.36	204	_SYS00000005053	 236.72 
5	9	GE30B	AMPLIFICADOR PARA BAJO ELECTRICO 30W 10	1	71.97	204	_SYS00000005053	 71.97 
5	10	PVI8500	AMPLIFICADOR T/CONSOLA 500W 8CH - Oferta	1	172.39	204	_SYS00000005053	 172.39 
5	11	HDP DJ M40.1	AUDIFONO P/DJ GRANDE PROFESIONAL CALIDAD	1	26.57	204	_SYS00000005053	 26.57 
5	12	ACTION PJ OPW	BAJO ELECT. 4 CUERDAS ACTION NUEZ OPEN PORE	1	86.40	204	_SYS00000005053	 86.40 
5	13	ACTION DLX PLUS CRS	BAJO ELECT. 4 CUERDAS ACTION PLUS CEREZA SUNB.	1	144.85	204	_SYS00000005053	 144.85 
5	14	ACTION BASS PLUS TR	BAJO ELECT. 4 CUERDAS ACTION ROJO TRANS	1	105.72	204	_SYS00000005053	 105.72 
