ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
1	0	ACD-006A	ADAPTADOR AC/DC FIJO 9V 1000MA P/PEDAL DE EFECTO	8	 2.7000 	200	_SYS00000005053	 21.60 
	1	KA-390	ADAPTADOR P/TECLADO/PIANO KORG - Oferta	3	 9.6800 	200	_SYS00000005053	 29.04 
	2	EDA50	AMPLIFICADOR P/BATERIA EDA 50W 1X10	3	 100.4500 	200	_SYS00000005053	 301.35 
	3	CM15R US DB	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 AZUL OSCURO	11	 39.5700 	200	_SYS00000005053	 435.27 
	4	CM15R US BK	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 NEGRO	53	 39.5700 	200	_SYS00000005053	 2097.21 
	5	CM15R US DR	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 15W 1X8 ROJO OSCURO	24	 39.5700 	200	_SYS00000005053	 949.68 
	6	CM30R US BK	AMPLIFICADOR P/GUIT. ELEC. CM-SERIES 30W 1X10 NEGRO	19	 70.3900 	200	_SYS00000005053	 1337.41 
	7	FRONTLINE 30	AMPLIFICADOR P/GUIT. ELEC. FRONTLINE 30W 1X10	3	 75.7400 	200	_SYS00000005053	 227.22 
	8	RG80E-U	AMPLIFICADOR P/GUIT. ELEC. RG 80W 1X12	4	 188.3600 	200	_SYS00000005053	 753.44 
	9	RBD25TE-U	AMPLIFICADOR P/GUIT. ELECT. BIG DOG 25W	20	 53.0700 	200	_SYS00000005053	 1061.40 
	10	KB3	AMPLIFICADOR P/TECLADO 60W 1X12 - Oferta	1	 180.8300 	200	_SYS00000005053	 180.83 
	11	GE15B	AMPLIFICADOR PARA BAJO ELECTRICO 15W 8	21	 42.4900 	200	_SYS00000005053	 892.29 
	12	GE30B	AMPLIFICADOR PARA BAJO ELECTRICO 30W 10	65	 74.2500 	200	_SYS00000005053	 4826.25 
	13	TPM9.1000	AMPLIFICADOR T/CONSOLA 1000W 14CH	1	 279.7500 	200	_SYS00000005053	 279.75 
	14	TPM8250MK II	AMPLIFICADOR T/CONSOLA 500W 10CH - NETO	15	 164.3600 	200	_SYS00000005053	 2465.40 
	15	DCN2	AUDIFONO GRANDE DCN-SERIES	120	 8.4100 	200	_SYS00000005053	 1009.20 
	16	DCN8	AUDIFONO GRANDE PROFESIONAL DCN-SERIES	41	 20.3000 	200	_SYS00000005053	 832.30 
	17	ACTION DLX AS OPN	BAJO ELECT. 4 CUERDAS ACTION AS NATURAL OP	1	 165.5200 	200	_SYS00000005053	 165.52 
	18	ACTION BASS PLUS BM	BAJO ELECT. 4 CUERDAS ACTION AZUL METALICO	6	 104.3500 	200	_SYS00000005053	 626.10 
	19	ACTION PJ OPBC	BAJO ELECT. 4 CUERDAS ACTION CEREZA OPEN PORE	19	 88.8600 	200	_SYS00000005053	 1688.34 
	20	ACTION BASS PLUS BK	BAJO ELECT. 4 CUERDAS ACTION NEGRO	6	 106.5100 	200	_SYS00000005053	 639.06 
	21	ACTION PJ OPB	BAJO ELECT. 4 CUERDAS ACTION NEGRO OPEN PORE	7	 88.8600 	200	_SYS00000005053	 622.02 
	22	ACTION PJ OPW	BAJO ELECT. 4 CUERDAS ACTION NUEZ OPEN PORE	14	 88.8600 	200	_SYS00000005053	 1244.04 
	23	ACTION DLX PLUS CRS	BAJO ELECT. 4 CUERDAS ACTION PLUS CEREZA SUNB.	5	 144.8600 	200	_SYS00000005053	 724.30 
	24	ACTION BASS PLUS TR	BAJO ELECT. 4 CUERDAS ACTION ROJO TRANS	11	 106.5100 	200	_SYS00000005053	 1171.61 
	25	B4 PLUS MH OPM	BAJO ELECT. 4 CUERDAS ARTISAN CAOBA OPEN PORE	4	 219.6400 	200	_SYS00000005053	 878.56 
	26	C4 PLUS ZBMH TBB	BAJO ELECT. 4 CUERDAS ARTISAN MARKB. PREAMP Y MIC. BARTO. COLOR TBB - NETO	7	 208.7400 	200	_SYS00000005053	 1461.18 
	27	B4 PLUS AS OPN	BAJO ELECT. 4 CUERDAS ARTISAN NATURAL OPEN PORE	6	 247.3600 	200	_SYS00000005053	 1484.16 
	28	B4FL PLUS AS OPN	BAJO ELECT. 4 CUERDAS ARTISAN NATURAL OPEN PORE S/TRASTES - NETO	1	 252.0000 	200	_SYS00000005053	 252.00 
	29	C4 PLUS ZBMH OTAB	BAJO ELECT. 4 CUERDAS ARTISAN TABACO BURST OPEN PORE - NETO	11	 208.5200 	200	_SYS00000005053	 2293.72 
	30	GB34JJ 3TS	BAJO ELECT. 4 CUERDAS GB ACTIVO C/MIC. JAZZ COLOR 3TS	2	 135.0200 	200	_SYS00000005053	 270.04 
	31	GB14 PJ 2T	BAJO ELECT. 4 CUERDAS GB PASIVO C/MIC. PJ COLOR 2T	2	 110.6500 	200	_SYS00000005053	 221.30 
	32	ACTION DLX V AS OPN	BAJO ELECT. 5 CUERDAS ACTION AS NATURAL OP	7	 184.2600 	200	_SYS00000005053	 1289.82 
	33	ACTION BASS V PLUSBM	BAJO ELECT. 5 CUERDAS ACTION AZUL METALICO	8	 110.6900 	200	_SYS00000005053	 885.52 
	34	ACTION DLX V PLUSCRS	BAJO ELECT. 5 CUERDAS ACTION CEREZA CON ROJO SUNBURST	31	 156.8300 	200	_SYS00000005053	 4861.73 
	35	A5 PLUS SCMS OPN	BAJO ELECT. 5 CUERDAS ARTISAN C/MIC. BARTOLINI MK-1 Y ESTUCHE COLOR OPN - NETO	5	 478.4300 	200	_SYS00000005053	 2392.15 
	36	B5 PLUS MH OPM	BAJO ELECT. 5 CUERDAS ARTISAN CAOBA OPEN PORE	9	 236.2200 	200	_SYS00000005053	 2125.98 
	37	A5 PLUS FMMH OPBC	BAJO ELECT. 5 CUERDAS ARTISAN CEREZA OPEN PORE - NETO	10	 390.6200 	200	_SYS00000005053	 3906.20 
	38	C5 PLUS ZBMH TBB	BAJO ELECT. 5 CUERDAS ARTISAN MARKB. PREAMP Y MIC. BARTO. COLOR TBB	7	 219.7600 	200	_SYS00000005053	 1538.32 
	39	A5 PLUS FMMH OPN	BAJO ELECT. 5 CUERDAS ARTISAN NATURAL OPEN PORE - NETO	15	 384.6700 	200	_SYS00000005053	 5770.05 
	40	B5 PLUS AS OPN	BAJO ELECT. 5 CUERDAS ARTISAN NATURAL OPEN PORE	10	 258.8400 	200	_SYS00000005053	 2588.40 
	41	C5 PLUS ZBMH OTAB	BAJO ELECT. 5 CUERDAS ARTISAN TABACO BURST OPEN PORE	18	 215.9300 	200	_SYS00000005053	 3886.74 
	42	C6 PLUS ZBMH OTAB	BAJO ELECT. 6 CUERDAS ARTISAN TABACO BURST OPEN PORE	2	 258.8700 	200	_SYS00000005053	 517.74 
	43	A6 PLUS FMMH OPN	BAJO ELECT. 6-CUERDAS ARTISAN NATURAL OPEN PORE - NETO	7	 422.5600 	200	_SYS00000005053	 2957.92 
	44	LC17514DIR	BATERIA ACUS. ACCENT DRIVE (1/2_2/2) RED FOIL	1	 291.2100 	200	_SYS00000005053	 291.21 
	45	LC1758DIR	BATERIA ACUS. ACCENT DRIVE 5PCS BLANCO - NETO	1	 291.1300 	200	_SYS00000005053	 291.13 
	46	LCB522FXMWDIR	BATERIA ACUS. ELEMENT BIRCH (1/2_2/2) MWT	1	 494.8200 	200	_SYS00000005053	 494.82 
	47	LCB522FXSDDIR	BATERIA ACUS. ELEMENT BIRCH (1/2_2/2) SDB	1	 494.8500 	200	_SYS00000005053	 494.85 
	48	CSD310	BATERIA ELECTRICA 5-TAMBORES 4-PLATILLOS (1/2_2/2)	1	 391.4000 	200	_SYS00000005053	 391.40 
	49	THRASHER50E-U	CABEZAL P/GUIT. ELECT. TRASHER 50W - NETO	2	 654.3600 	200	_SYS00000005053	 1308.72 
	50	KH120RHSE-U	CABEZAL Y CABINA KH120RH/KH412 120W 4X12 - NETO	2	 511.5500 	200	_SYS00000005053	 1023.10 
	51	RX120RHSE-U	CABEZAL Y CABINA RX120RH/RX412 120W 4X12	3	 367.9400 	200	_SYS00000005053	 1103.82 
	52	6505 MICRO	CABINA MICRO P/GUIT. ELECT. 6505 25W 1X8 - Oferta	2	 57.8300 	200	_SYS00000005053	 115.66 
	53	HEADLINER 210	CABINA P/BAJO ELEC. BASS ENCLO. 300W 2X10 - Oferta	1	 214.8800 	200	_SYS00000005053	 214.88 
	54	HEADLINER 410	CABINA P/BAJO ELEC. BASS ENCLO. 400W 2X10 - Oferta	2	 189.2400 	200	_SYS00000005053	 378.48 
	55	PVH210	CABINA P/BAJO ELEC. BASS ENCLOS. 600W 2X10 - Oferta	1	 294.8300 	200	_SYS00000005053	 294.83 
	56	RG412SE-U	CABINA P/GUIT. ELEC. RG 160W 4X12	1	 206.4200 	200	_SYS00000005053	 206.42 
	57	KS-CS15A_PSS-912	CAJA ACTIVA 15 4000W TOPP PRO_ PEDESTAL P/CAJA PRO-LOK - Oferta	44	 390.9100 	200	_SYS00000005053	 17200.04 
	58	AVANTI15A_SB-16	CAJA ACTIVA 15 500W TOPP PRO_ PEDESTAL P/CAJA AX - NETO	35	 139.9300 	200	_SYS00000005053	 4897.55 
	59	TAP20A BK	CAJA ACTIVA AIRPORT-SERIE 3 20W NEGRO X 2P	19	 56.4200 	200	_SYS00000005053	 1071.98 
	60	TAP40A BK	CAJA ACTIVA AIRPORT-SERIE 4 40W NEGRO X 2P	30	 79.3800 	200	_SYS00000005053	 2381.40 
	61	ALTEA-415A	CAJA ACTIVA ALTEA-SERIE 15 PULG. 800W	48	 305.5500 	200	_SYS00000005053	 14666.40 
	62	ACTION215A 115V	CAJA ACTIVA DOBLE ACTION-SERIE 15 PULG. 1000W - Oferta	9	 665.4400 	200	_SYS00000005053	 5988.96 
	63	KS-CS215A	CAJA ACTIVA DOBLE KS-SERIE 15 4000W - NETO	15	 419.6000 	200	_SYS00000005053	 6294.00 
	64	VANTEC-215A	CAJA ACTIVA DOBLE VANTEC-SERIE 15 PULG. 2250W	9	 880.7900 	200	_SYS00000005053	 7927.11 
	65	FORZA15A (UL)	CAJA ACTIVA FORZA-SERIE 15 1660W 128dB - NETO	29	 192.6600 	200	_SYS00000005053	 5587.14 
	66	VANTEC-12A	CAJA ACTIVA VANTEC-SERIE 12 PULG. 1500W	1	 603.4200 	200	_SYS00000005053	 603.42 
	67	VANTEC-15A	CAJA ACTIVA VANTEC-SERIE 15 PULG. 1500W	24	 681.3900 	200	_SYS00000005053	 16353.36 
	68	X15A-MP	CAJA ACTIVA X-SERIE 15 800W USB - Oferta	32	 149.6100 	200	_SYS00000005053	 4787.52 
	69	KR-151B	CAJA AMPLIF. 15 40000W C/PEDESTAL/MICROF. - Oferta	1	 76.6300 	200	_SYS00000005053	 76.63 
	70	KR-151L	CAJA AMPLIF. 15 45000W - Oferta	4	 66.7700 	200	_SYS00000005053	 267.08 
	71	SIGMA156Y	CAJA AMPLIF. 15 50000W AMARILLA C/LUZ LED	110	 72.6900 	200	_SYS00000005053	 7995.90 
	72	SIGMA156BL	CAJA AMPLIF. 15 50000W AZUL C/LUZ LED	249	 72.6600 	200	_SYS00000005053	 18092.34 
	73	SIGMA156B	CAJA AMPLIF. 15 50000W NEGRA C/LUZ LED	306	 68.1400 	200	_SYS00000005053	 20850.84 
	74	SIGMA156R	CAJA AMPLIF. 15 50000W ROJA C/LUZ LED	282	 72.9900 	200	_SYS00000005053	 20583.18 
	75	SIGMA156G	CAJA AMPLIF. 15 50000W VERDE C/LUZ LED	4	 73.7700 	200	_SYS00000005053	 295.08 
	76	ALFA15	CAJA AMPLIF. 15 65000W C/PED/MIC/LED NEGRO - Oferta	2	 82.4700 	200	_SYS00000005053	 164.94 
	77	OMEGA2156	CAJA AMPLIF. DOBLE 15 100.000W C/LUZ LED	2	 106.3700 	200	_SYS00000005053	 212.74 
	78	IMPACT TWO	CAJA AMPLIF. DOBLE 15 75000W C/LUZ LED	359	 85.9300 	200	_SYS00000005053	 30848.87 
	79	KR-G12	CAJA AMPLIF. PORTATIL 12 30000W C/LED/1 MIC - Oferta	2	 39.5500 	200	_SYS00000005053	 79.10 
	80	AX-SRL156	CAJA AMPLIF. PORTATIL 15 50000W C/LUZ LED - Oferta	4	 81.8500 	200	_SYS00000005053	 327.40 
	81	AX-SPA1504R	CAJA AMPLIF. PORTATIL 15 50000W C/REC/2 MIC. - Oferta	6	 109.9500 	200	_SYS00000005053	 659.70 
	82	AX-51BL	CAJA AMPLIF. PORTATIL 5 600W C/1 MIC AZUL - Oferta	4	 24.1900 	200	_SYS00000005053	 96.76 
	83	KR-X8D	CAJA AMPLIF. PORTATIL 8 15000W C/LED - Oferta	5	 16.9400 	200	_SYS00000005053	 84.70 
	84	AX-SPA804R	CAJA AMPLIF. PORTATIL 8 15000W C/REC/1 MIC. - Oferta	3	 56.7400 	200	_SYS00000005053	 170.22 
	85	KR-L206	CAJA AMPLIF. PORTATIL DOBLE 6 20000W C/LED	160	 22.6700 	200	_SYS00000005053	 3627.20 
