ParentKey	LineNum	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufactureDate	ReceptionDate	WarrantyStart	WarrantyEnd	Location	Notes	BatchID	SystemSerialNumber	BaseLineNumber	Quantity	TrackingNote	TrackingNoteLine	ItemCode
DocNum	LineNum	MnfSerial	DistNumber	ExpDate	MnfDate	InDate	GrntStart	GrntExp	Location	Notes	LotNumber	SysNumber	DocLineNum	Quantity	TrackingNt	TrackiNtLn	ItemCode
1	0	ADA-000008	ADA-000008	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	1	ADA-000009	ADA-000009	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	2	ADA-000010	ADA-000010	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	3	ADA-000011	ADA-000011	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	4	ADA-000012	ADA-000012	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	5	ADA-000013	ADA-000013	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	6	ADA-000014	ADA-000014	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	7	ADA-000015	ADA-000015	20221031	20201031	20201031				ACD-006A			0	1			ACD-006A
1	8	ADA-000031	ADA-000031	20221031	20201031	20201031				KA-390			1	1			KA-390
1	9	ADA-000032	ADA-000032	20221031	20201031	20201031				KA-390			1	1			KA-390
1	10	ADA-000033	ADA-000033	20221031	20201031	20201031				KA-390			1	1			KA-390
1	11	ADA-000038	ADA-000038	20221031	20201031	20201031				EDA50			2	1			EDA50
1	12	ADA-000039	ADA-000039	20221031	20201031	20201031				EDA50			2	1			EDA50
1	13	ADA-000040	ADA-000040	20221031	20201031	20201031				EDA50			2	1			EDA50
1	14	ADA-000053	ADA-000053	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	15	ADA-000054	ADA-000054	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	16	ADA-000055	ADA-000055	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	17	ADA-000056	ADA-000056	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	18	ADA-000057	ADA-000057	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	19	ADA-000058	ADA-000058	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	20	ADA-000059	ADA-000059	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	21	ADA-000060	ADA-000060	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	22	ADA-000061	ADA-000061	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	23	ADA-000062	ADA-000062	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	24	ADA-000063	ADA-000063	20221031	20201031	20201031				CM15R US DB			3	1			CM15R US DB
1	25	ADA-000070	ADA-000070	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	26	ADA-000071	ADA-000071	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	27	ADA-000072	ADA-000072	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	28	ADA-000073	ADA-000073	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	29	ADA-000074	ADA-000074	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	30	ADA-000075	ADA-000075	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	31	ADA-000076	ADA-000076	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	32	ADA-000077	ADA-000077	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	33	ADA-000078	ADA-000078	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	34	ADA-000079	ADA-000079	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	35	ADA-000080	ADA-000080	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	36	ADA-000081	ADA-000081	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	37	ADA-000082	ADA-000082	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	38	ADA-000083	ADA-000083	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	39	ADA-000084	ADA-000084	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	40	ADA-000085	ADA-000085	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	41	ADA-000086	ADA-000086	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	42	ADA-000087	ADA-000087	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	43	ADA-000088	ADA-000088	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	44	ADA-000089	ADA-000089	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	45	ADA-000090	ADA-000090	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	46	ADA-000091	ADA-000091	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	47	ADA-000092	ADA-000092	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	48	ADA-000093	ADA-000093	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	49	ADA-000094	ADA-000094	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	50	ADA-000095	ADA-000095	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	51	ADA-000096	ADA-000096	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	52	ADA-000097	ADA-000097	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	53	ADA-000098	ADA-000098	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	54	ADA-000099	ADA-000099	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	55	ADA-000100	ADA-000100	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	56	ADA-000101	ADA-000101	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	57	ADA-000102	ADA-000102	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	58	ADA-000103	ADA-000103	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	59	ADA-000104	ADA-000104	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	60	ADA-000105	ADA-000105	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	61	ADA-000106	ADA-000106	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	62	ADA-000107	ADA-000107	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	63	ADA-000108	ADA-000108	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	64	ADA-000109	ADA-000109	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	65	ADA-000110	ADA-000110	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	66	ADA-000111	ADA-000111	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	67	ADA-000112	ADA-000112	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	68	ADA-000113	ADA-000113	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	69	ADA-000114	ADA-000114	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	70	ADA-000115	ADA-000115	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	71	ADA-000116	ADA-000116	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	72	ADA-000117	ADA-000117	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	73	ADA-000118	ADA-000118	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
1	74	ADA-000119	ADA-000119	20221031	20201031	20201031				CM15R US BK			4	1			CM15R US BK
